"","Country.Province","Lat","Long","pos_mean","pos_std","pos_sum"
"80","China/Ningxia",37.2692,106.1655,72.3811659192825,72.3811659192825,32282
"81","China/Qinghai",35.7452,95.9956,17.6210762331839,17.6210762331839,7859
"82","China/Shaanxi",35.1917,108.8701,386.493273542601,386.493273542601,172376
"83","China/Shandong",36.3427,118.1498,789.813901345291,789.813901345291,352257
"84","China/Shanghai",31.202,121.4491,1009.9932735426,1009.9932735426,450457
"85","China/Shanxi",37.5777,112.2922,196.141255605381,196.141255605381,87479
"86","China/Sichuan",30.6171,102.7103,678.295964125561,678.295964125561,302520
"87","China/Tianjin",39.3054,117.323,238.121076233184,238.121076233184,106202
"88","China/Tibet",31.6927,88.0924,0.982062780269058,0.982062780269058,438
"89","China/Xinjiang",41.1129,85.2401,576.040358744395,576.040358744395,256914
"90","China/Yunnan",24.974,101.487,199.977578475336,199.977578475336,89190
"91","China/Zhejiang",29.1832,120.0934,1246.0134529148,1246.0134529148,555722
"92","Colombia/",4.5709,-74.2973,838833.786995516,838833.786995516,374119869
"93","Comoros/",-11.6455,43.3333,885.988789237668,885.988789237668,395151
"94","Congo (Brazzaville)/",-0.228,15.8277,3954.0269058296,3954.0269058296,1763496
"95","Congo (Kinshasa)/",-4.0383,21.7587,10552.2264573991,10552.2264573991,4706293
"96","Costa Rica/",9.7489,-83.7534,77843.697309417,77843.697309417,34718289
"97","Cote d'Ivoire/",7.54,-5.5471,15768.9932735426,15768.9932735426,7032971
"98","Croatia/",45.1,15.2,77337.0560538117,77337.0560538117,34492327
"99","Cuba/",21.521757,-77.781167,12756.6816143498,12756.6816143498,5689480
"100","Cyprus/",35.1264,33.4299,10268.1031390135,10268.1031390135,4579574
"101","Czechia/",49.8175,15.473,357518.338565022,357518.338565022,159453179
"102","Denmark/Faroe Islands",61.8926,-6.9118,361.369955156951,361.369955156951,161171
"103","Denmark/Greenland",71.7069,-42.6043,16.0067264573991,16.0067264573991,7139
"104","Denmark/",56.2639,9.5018,67605.4192825112,67605.4192825112,30152017
"105","Diamond Princess/",0,0,672.09865470852,672.09865470852,299756
"106","Djibouti/",11.8251,42.5903,4159.60313901345,4159.60313901345,1855183
"107","Dominica/",15.415,-61.371,50.957399103139,50.957399103139,22727
"108","Dominican Republic/",18.7357,-70.1627,98614.2219730942,98614.2219730942,43981943
"109","Ecuador/",-1.8312,-78.1834,125662.623318386,125662.623318386,56045530
"110","Egypt/",26.820553,30.802498,87251.4955156951,87251.4955156951,38914167
"111","El Salvador/",13.7942,-88.8965,25254.5470852018,25254.5470852018,11263528
"112","Equatorial Guinea/",1.6508,10.2679,3470.16367713005,3470.16367713005,1547693
"113","Eritrea/",15.1794,39.7823,770.97533632287,770.97533632287,343855
"114","Estonia/",58.5953,25.0136,17743.7443946188,17743.7443946188,7913710
"115","Eswatini/",-26.5225,31.4659,5637.2668161435,5637.2668161435,2514221
"116","Ethiopia/",9.145,40.4897,65082.8520179372,65082.8520179372,29026952
"117","Fiji/",-17.7134,178.065,30.6210762331839,30.6210762331839,13657
"118","Finland/",61.92411,25.748151,19929.0986547085,19929.0986547085,8888378
"119","France/French Guiana",3.9339,-53.1258,7734.83183856502,7734.83183856502,3449735
"120","France/French Polynesia",-17.6797,149.4068,6408.67937219731,6408.67937219731,2858271
"121","France/Guadeloupe",16.265,-61.551,4144.95291479821,4144.95291479821,1848649
"122","France/Martinique",14.6415,-61.0242,2559.41031390135,2559.41031390135,1141497
"123","France/Mayotte",-12.8275,45.166244,4973.78923766816,4973.78923766816,2218310
"124","France/New Caledonia",-20.904305,165.618042,31.1614349775785,31.1614349775785,13898
"125","France/Reunion",-21.1151,55.5364,4557.64573991031,4557.64573991031,2032710
"126","France/Saint Barthelemy",17.9,-62.8333,144.883408071749,144.883408071749,64618
"127","France/Saint Pierre and Miquelon",46.8852,-56.3159,9.62331838565022,9.62331838565022,4292
"128","France/St Martin",18.0708,-63.0501,493.004484304933,493.004484304933,219880
"129","France/Wallis and Futuna",-14.2938,-178.1165,25.1883408071749,25.1883408071749,11234
"130","France/",46.2276,2.2137,1278660.1367713,1278660.1367713,570282421
"131","Gabon/",-0.8037,11.6094,7015.59641255605,7015.59641255605,3128956
"132","Gambia/",13.4432,-15.3101,2171.40807174888,2171.40807174888,968448
"133","Georgia/",42.3154,43.3569,80678.8452914798,80678.8452914798,35982765
"134","Germany/",51.165691,10.451526,805065.751121076,805065.751121076,359059325
"135","Ghana/",7.9465,-1.0232,36625.2757847534,36625.2757847534,16334873
"136","Greece/",39.0742,21.8243,61705.7466367713,61705.7466367713,27520763
"137","Grenada/",12.1165,-61.679,51.7735426008969,51.7735426008969,23091
"138","Guatemala/",15.7835,-90.2308,75544.4641255605,75544.4641255605,33692831
"139","Guinea/",9.9456,-9.6966,8495.21748878924,8495.21748878924,3788867
"140","Guinea-Bissau/",11.8037,-15.1804,1781.37668161435,1781.37668161435,794494
"141","Guyana/",4.860416,-58.93018,3136.97533632287,3136.97533632287,1399091
"142","Haiti/",18.9712,-72.2852,6495.25560538117,6495.25560538117,2896884
"143","Holy See/",41.9029,12.4534,16.0448430493274,16.0448430493274,7156
"144","Honduras/",15.2,-86.2419,68915.8542600897,68915.8542600897,30736471
"145","Hungary/",47.1625,19.5033,137834.997757848,137834.997757848,61474409
"146","Iceland/",64.9631,-19.0208,3179.66591928251,3179.66591928251,1418131
"147","India/",20.593684,78.96288,4968564.95067265,4968564.95067265,2215979968
"148","Indonesia/",-0.7893,113.9213,412479.049327354,412479.049327354,183965656
"149","Iran/",32.427908,53.688046,623225.056053812,623225.056053812,277958375
"150","Iraq/",33.223191,43.679291,303508.798206278,303508.798206278,135364924
"151","Ireland/",53.1424,-7.6921,69434.2623318386,69434.2623318386,30967681
"152","Israel/",31.046051,34.851612,253398.551569507,253398.551569507,113015754
"153","Italy/",41.87194,12.56738,991949.405829596,991949.405829596,442409435
"154","Jamaica/",18.1096,-77.2975,7993.93497757847,7993.93497757847,3565295
"155","Japan/",36.204824,138.252924,133145.376681614,133145.376681614,59382838
"156","Jordan/",31.24,36.51,125996,125996,56194216
"157","Kazakhstan/",48.0196,66.9237,115453.403587444,115453.403587444,51492218
"158","Kenya/",-0.0236,37.9062,44887.5,44887.5,20019825
"159","Korea, South/",35.907757,127.766922,33141.6210762332,33141.6210762332,14781163
"160","Kosovo/",42.602636,20.902977,24402.2869955157,24402.2869955157,10883420
"161","Kuwait/",29.31166,47.481766,89542.9641255605,89542.9641255605,39936162
"162","Kyrgyzstan/",41.20438,74.766098,40420.2735426009,40420.2735426009,18027442
"163","Laos/",19.85627,102.495496,24.7757847533632,24.7757847533632,11050
"164","Latvia/",56.8796,24.6032,21172.4461883408,21172.4461883408,9442911
