"","Country.Province","Lat","Long","pos_mean","pos_std","pos_sum"
"80","China/Ningxia",37.2692,106.1655,72.6666666666667,72.6666666666667,35752
"81","China/Qinghai",35.7452,95.9956,17.6565040650407,17.6565040650407,8687
"82","China/Shaanxi",35.1917,108.8701,405.926829268293,405.926829268293,199716
"83","China/Shandong",36.3427,118.1498,798.121951219512,798.121951219512,392676
"84","China/Shanghai",31.202,121.4491,1102.67886178862,1102.67886178862,542518
"85","China/Shanxi",37.5777,112.2922,201.215447154472,201.215447154472,98998
"86","China/Sichuan",30.6171,102.7103,707.166666666667,707.166666666667,347926
"87","China/Tianjin",39.3054,117.323,251.89837398374,251.89837398374,123934
"88","China/Tibet",31.6927,88.0924,0.983739837398374,0.983739837398374,484
"89","China/Unknown",NA,NA,0.0142276422764228,0.0142276422764228,7
"90","China/Xinjiang",41.1129,85.2401,613.808943089431,613.808943089431,301994
"91","China/Yunnan",24.974,101.487,213.333333333333,213.333333333333,104960
"92","China/Zhejiang",29.1832,120.0934,1255.13211382114,1255.13211382114,617525
"93","Colombia/",4.5709,-74.2973,1034135.91260163,1034135.91260163,508794869
"94","Comoros/",-11.6455,43.3333,1162.48983739837,1162.48983739837,571945
"95","Congo (Brazzaville)/",-0.228,15.8277,4600.4756097561,4600.4756097561,2263434
"96","Congo (Kinshasa)/",-4.0383,21.7587,12369.3841463415,12369.3841463415,6085737
"97","Costa Rica/",9.7489,-83.7534,95056.1666666667,95056.1666666667,46767634
"98","Cote d'Ivoire/",7.54,-5.5471,18615.0508130081,18615.0508130081,9158605
"99","Croatia/",45.1,15.2,101259.296747967,101259.296747967,49819574
"100","Cuba/",21.521757,-77.781167,22014.4613821138,22014.4613821138,10831115
"101","Cyprus/",35.1264,33.4299,15429.7073170732,15429.7073170732,7591416
"102","Czechia/",49.8175,15.473,476709.662601626,476709.662601626,234541154
"103","Denmark/Faroe Islands",61.8926,-6.9118,390.089430894309,390.089430894309,191924
"104","Denmark/Greenland",71.7069,-42.6043,17.4674796747967,17.4674796747967,8594
"105","Denmark/",56.2639,9.5018,85244.9410569106,85244.9410569106,41940511
"106","Diamond Princess/",0,0,675.829268292683,675.829268292683,332508
"107","Djibouti/",11.8251,42.5903,4804.84552845528,4804.84552845528,2363984
"108","Dominica/",15.415,-61.371,62.530487804878,62.530487804878,30765
"109","Dominican Republic/",18.7357,-70.1627,114675.855691057,114675.855691057,56420521
"110","Ecuador/",-1.8312,-78.1834,150289.898373984,150289.898373984,73942630
"111","Egypt/",26.820553,30.802498,100910.504065041,100910.504065041,49647968
"112","El Salvador/",13.7942,-88.8965,29416.5508130081,29416.5508130081,14472943
"113","Equatorial Guinea/",1.6508,10.2679,3867.43089430894,3867.43089430894,1902776
"114","Eritrea/",15.1794,39.7823,1046.4674796748,1046.4674796748,514862
"115","Estonia/",58.5953,25.0136,27593.3922764228,27593.3922764228,13575949
"116","Eswatini/",-26.5225,31.4659,6837.60162601626,6837.60162601626,3364100
"117","Ethiopia/",9.145,40.4897,83020.1585365854,83020.1585365854,40845918
"118","Fiji/",-17.7134,178.065,40.650406504065,40.650406504065,20000
"119","Finland/",61.92411,25.748151,26258.0264227642,26258.0264227642,12918949
"120","France/French Guiana",3.9339,-53.1258,8885.24390243902,8885.24390243902,4371540
"121","France/French Polynesia",-17.6797,149.4068,7564.47357723577,7564.47357723577,3721721
"122","France/Guadeloupe",16.265,-61.551,5108.90853658537,5108.90853658537,2513583
"123","France/Martinique",14.6415,-61.0242,3322.87195121951,3322.87195121951,1634853
"124","France/Mayotte",-12.8275,45.166244,6380.83739837398,6380.83739837398,3139372
"125","France/New Caledonia",-20.904305,165.618042,39.8373983739837,39.8373983739837,19600
"126","France/Reunion",-21.1151,55.5364,6097.87195121951,6097.87195121951,3000153
"127","France/Saint Barthelemy",17.9,-62.8333,221.733739837398,221.733739837398,109093
"128","France/Saint Pierre and Miquelon",46.8852,-56.3159,11.0508130081301,11.0508130081301,5437
"129","France/St Martin",18.0708,-63.0501,612.388211382114,612.388211382114,301295
"130","France/Wallis and Futuna",-14.2938,-178.1165,64.2256097560976,64.2256097560976,31599
"131","France/",46.2276,2.2137,1676321.66260163,1676321.66260163,824750258
"132","Gabon/",-0.8037,11.6094,8513.96544715447,8513.96544715447,4188871
"133","Gambia/",13.4432,-15.3101,2517.68699186992,2517.68699186992,1238702
"134","Georgia/",42.3154,43.3569,102640.182926829,102640.182926829,50498970
"135","Germany/",51.165691,10.451526,1050347.94308943,1050347.94308943,516771188
"136","Ghana/",7.9465,-1.0232,41864.0528455285,41864.0528455285,20597114
"137","Greece/",39.0742,21.8243,88827.8963414634,88827.8963414634,43703325
"138","Grenada/",12.1165,-61.679,61.8211382113821,61.8211382113821,30416
"139","Guatemala/",15.7835,-90.2308,89975.5,89975.5,44267946
"140","Guinea/",9.9456,-9.6966,9785.70528455285,9785.70528455285,4814567
"141","Guinea-Bissau/",11.8037,-15.1804,1963.76829268293,1963.76829268293,966174
"142","Guyana/",4.860416,-58.93018,4135.64024390244,4135.64024390244,2034735
"143","Haiti/",18.9712,-72.2852,7123.22967479675,7123.22967479675,3504629
"144","Holy See/",41.9029,12.4534,17.0691056910569,17.0691056910569,8398
"145","Honduras/",15.2,-86.2419,82652.843495935,82652.843495935,40665199
"146","Hungary/",47.1625,19.5033,197755.345528455,197755.345528455,97295630
"147","Iceland/",64.9631,-19.0208,3486.11585365854,3486.11585365854,1715169
"148","India/",20.593684,78.96288,6445791.75406504,6445791.75406504,3171329543
"149","Indonesia/",-0.7893,113.9213,531651.957317073,531651.957317073,261572763
"150","Iran/",32.427908,53.688046,803110.668699187,803110.668699187,395130449
"151","Iraq/",33.223191,43.679291,375867.243902439,375867.243902439,184926684
"152","Ireland/",53.1424,-7.6921,86309.7235772358,86309.7235772358,42464384
"153","Israel/",31.046051,34.851612,308093.825203252,308093.825203252,151582162
"154","Italy/",41.87194,12.56738,1276980.06910569,1276980.06910569,628274194
"155","Jamaica/",18.1096,-77.2975,11540.9512195122,11540.9512195122,5678148
"156","Japan/",36.204824,138.252924,178678.882113821,178678.882113821,87910010
"157","Jordan/",31.24,36.51,180640.205284553,180640.205284553,88874981
"158","Kazakhstan/",48.0196,66.9237,140615.235772358,140615.235772358,69182696
"159","Kenya/",-0.0236,37.9062,55666.9146341463,55666.9146341463,27388122
"160","Kiribati/",-3.3704,-168.734,0.0345528455284553,0.0345528455284553,17
"161","Korea, South/",35.907757,127.766922,41738.2235772358,41738.2235772358,20535206
"162","Kosovo/",42.602636,20.902977,31852.0040650407,31852.0040650407,15671186
"163","Kuwait/",29.31166,47.481766,107172.680894309,107172.680894309,52728959
"164","Kyrgyzstan/",41.20438,74.766098,45697.2418699187,45697.2418699187,22483043
"165","Laos/",19.85627,102.495496,111.906504065041,111.906504065041,55058
"166","Latvia/",56.8796,24.6032,30489.0243902439,30489.0243902439,15000600
"167","Lebanon/",33.8547,35.8623,143914.609756098,143914.609756098,70805988
"168","Lesotho/",-29.61,28.2336,3421.85162601626,3421.85162601626,1683551
"169","Liberia/",6.428055,-9.429499,1162.62601626016,1162.62601626016,572012
"170","Libya/",26.3351,17.228331,59122.8292682927,59122.8292682927,29088432
"171","Liechtenstein/",47.14,9.55,1005.39024390244,1005.39024390244,494652
"172","Lithuania/",55.1694,23.8813,72749.5142276423,72749.5142276423,35792761
"173","Luxembourg/",49.8153,6.1296,24419.843495935,24419.843495935,12014563
"174","MS Zaandam/",0,0,7.73577235772358,7.73577235772358,3806
"175","Madagascar/",-18.766947,46.869107,13205.0772357724,13205.0772357724,6496898
"176","Malawi/",-13.2543,34.3015,10501.0731707317,10501.0731707317,5166528
"177","Malaysia/",4.210484,101.975766,106583.056910569,106583.056910569,52438864
"178","Maldives/",3.2028,73.2207,10929.9857723577,10929.9857723577,5377553
"179","Mali/",17.570692,-3.996166,4563.05487804878,4563.05487804878,2245023
"180","Malta/",35.9375,14.3754,9136.49390243902,9136.49390243902,4495155
"181","Marshall Islands/",7.1315,171.1845,1.61788617886179,1.61788617886179,796
"182","Mauritania/",21.0079,-10.9408,8264.22154471545,8264.22154471545,4065997
