"","Country.Province","Lat","Long","pos_mean","pos_std","pos_sum"
"80","China/Ningxia",37.2692,106.1655,72.7134268537074,72.7134268537074,36284
"81","China/Qinghai",35.7452,95.9956,17.6613226452906,17.6613226452906,8813
"82","China/Shaanxi",35.1917,108.8701,408.87374749499,408.87374749499,204028
"83","China/Shandong",36.3427,118.1498,799.312625250501,799.312625250501,398857
"84","China/Shanghai",31.202,121.4491,1116.69539078156,1116.69539078156,557231
"85","China/Shanxi",37.5777,112.2922,201.941883767535,201.941883767535,100769
"86","China/Sichuan",30.6171,102.7103,711.657314629259,711.657314629259,355117
"87","China/Tianjin",39.3054,117.323,253.877755511022,253.877755511022,126685
"88","China/Tibet",31.6927,88.0924,0.983967935871743,0.983967935871743,491
"89","China/Unknown",NA,NA,0.0140280561122244,0.0140280561122244,7
"90","China/Xinjiang",41.1129,85.2401,618.945891783567,618.945891783567,308854
"91","China/Yunnan",24.974,101.487,215.288577154309,215.288577154309,107429
"92","China/Zhejiang",29.1832,120.0934,1256.66132264529,1256.66132264529,627074
"93","Colombia/",4.5709,-74.2973,1067475.19438878,1067475.19438878,532670122
"94","Comoros/",-11.6455,43.3333,1200.625250501,1200.625250501,599112
"95","Congo (Brazzaville)/",-0.228,15.8277,4700.22845691383,4700.22845691383,2345414
"96","Congo (Kinshasa)/",-4.0383,21.7587,12640.2985971944,12640.2985971944,6307509
"97","Costa Rica/",9.7489,-83.7534,98195.5551102204,98195.5551102204,48999582
"98","Cote d'Ivoire/",7.54,-5.5471,19017.2785571142,19017.2785571142,9489622
"99","Croatia/",45.1,15.2,104837.280561122,104837.280561122,52313803
"100","Cuba/",21.521757,-77.781167,23701.2765531062,23701.2765531062,11826937
"101","Cyprus/",35.1264,33.4299,16229.7875751503,16229.7875751503,8098664
"102","Czechia/",49.8175,15.473,493329.9498998,493329.9498998,246171645
"103","Denmark/Faroe Islands",61.8926,-6.9118,394.697394789579,394.697394789579,196954
"104","Denmark/Greenland",71.7069,-42.6043,17.7695390781563,17.7695390781563,8867
"105","Denmark/",56.2639,9.5018,87994.5731462926,87994.5731462926,43909292
"106","Diamond Princess/",0,0,676.336673346693,676.336673346693,337492
"107","Djibouti/",11.8251,42.5903,4899.22645290581,4899.22645290581,2444714
"108","Dominica/",15.415,-61.371,64.2905811623247,64.2905811623247,32081
"109","Dominican Republic/",18.7357,-70.1627,117178.058116232,117178.058116232,58471851
"110","Ecuador/",-1.8312,-78.1834,154165.903807615,154165.903807615,76928786
"111","Egypt/",26.820553,30.802498,103178.627254509,103178.627254509,51486135
"112","El Salvador/",13.7942,-88.8965,30035.9278557114,30035.9278557114,14987928
"113","Equatorial Guinea/",1.6508,10.2679,3932.97595190381,3932.97595190381,1962555
"114","Eritrea/",15.1794,39.7823,1089.19238476954,1089.19238476954,543507
"115","Estonia/",58.5953,25.0136,29024.2224448898,29024.2224448898,14483087
"116","Eswatini/",-26.5225,31.4659,7002.61322645291,7002.61322645291,3494304
"117","Ethiopia/",9.145,40.4897,85665.4488977956,85665.4488977956,42747059
"118","Fiji/",-17.7134,178.065,46.2264529058116,46.2264529058116,23067
"119","Finland/",61.92411,25.748151,27187.7394789579,27187.7394789579,13566682
"120","France/French Guiana",3.9339,-53.1258,9096.29458917836,9096.29458917836,4539051
"121","France/French Polynesia",-17.6797,149.4068,7723.0621242485,7723.0621242485,3853808
"122","France/Guadeloupe",16.265,-61.551,5272.51903807615,5272.51903807615,2630987
"123","France/Martinique",14.6415,-61.0242,3443.53907815631,3443.53907815631,1718326
"124","France/Mayotte",-12.8275,45.166244,6567.55110220441,6567.55110220441,3277208
"125","France/New Caledonia",-20.904305,165.618042,41.0741482965932,41.0741482965932,20496
"126","France/Reunion",-21.1151,55.5364,6366.34869739479,6366.34869739479,3176808
"127","France/Saint Barthelemy",17.9,-62.8333,232.721442885772,232.721442885772,116128
"128","France/Saint Pierre and Miquelon",46.8852,-56.3159,11.2464929859719,11.2464929859719,5612
"129","France/St Martin",18.0708,-63.0501,630.911823647295,630.911823647295,314825
"130","France/Wallis and Futuna",-14.2938,-178.1165,69.5671342685371,69.5671342685371,34714
"131","France/",46.2276,2.2137,1731523.6252505,1731523.6252505,864030289
"132","Gabon/",-0.8037,11.6094,8736.8376753507,8736.8376753507,4359682
"133","Gambia/",13.4432,-15.3101,2566.4248496994,2566.4248496994,1280646
"134","Georgia/",42.3154,43.3569,106031.340681363,106031.340681363,52909639
"135","Germany/",51.165691,10.451526,1087387.29258517,1087387.29258517,542606259
"136","Ghana/",7.9465,-1.0232,42594.1743486974,42594.1743486974,21254493
"137","Greece/",39.0742,21.8243,93231.8256513026,93231.8256513026,46522681
"138","Grenada/",12.1165,-61.679,63.2124248496994,63.2124248496994,31543
"139","Guatemala/",15.7835,-90.2308,92294.5631262525,92294.5631262525,46054987
"140","Guinea/",9.9456,-9.6966,9973.60921843687,9973.60921843687,4976831
"141","Guinea-Bissau/",11.8037,-15.1804,1989.10621242485,1989.10621242485,992564
"142","Guyana/",4.860416,-58.93018,4316.4128256513,4316.4128256513,2153890
"143","Haiti/",18.9712,-72.2852,7225.67134268537,7225.67134268537,3605610
"144","Holy See/",41.9029,12.4534,17.2084168336673,17.2084168336673,8587
"145","Honduras/",15.2,-86.2419,84834.4909819639,84834.4909819639,42332411
"146","Hungary/",47.1625,19.5033,206266.833667335,206266.833667335,102927150
"147","Iceland/",64.9631,-19.0208,3529.16633266533,3529.16633266533,1761054
"148","India/",20.593684,78.96288,6750501.6753507,6750501.6753507,3368500336
"149","Indonesia/",-0.7893,113.9213,549737.915831663,549737.915831663,274319220
"150","Iran/",32.427908,53.688046,832724.196392786,832724.196392786,415529374
"151","Iraq/",33.223191,43.679291,387453.048096192,387453.048096192,193339071
